00A,Bensalem
00AK,Anchor Point
00AL,Harvest
00AR,Newport
00AZ,Cordes
00CA,Barstow
00CO,Briggsdale
00FA,Bushnell
00FD,Riverview
00FL,Okeechobee
00GA,Lithonia
00GE,Hiram
00HI,Kailua/Kona
00ID,Clark Fork
00II,Chesterton
00IL,Polo
00IN,Hobart
00IS,Kings
00KS,Gardner
00KY,Stanford
00LA,Gonzales
00LL,Chatham
00LS,Esterwood
00MD,Federalsburg
00MI,Ludington
00MN,Battle Lake
00MO,Alba
00MT,Havre
00N,Bridgeton
00NC,Louisburg
00NJ,New Brunswick
00NY,West Bloomfield
00OH,Wauseon
00OI,Dayton
00OR,Salem
00PA,Coatesville
00PN,Mercer
00PS,Loysville
00S,Mc Kenzie Bridge
00SC,Sumter
00TA,Fort Worth
00TE,Fort Worth
00TN,Manchester
00TS,Everman
00TX,Baytown
00UT,Kanab
00VA,Alton
00VI,Hillsville
00W,Colfax
00WA,Longbranch
00WI,Waupaca
00WN,Asotin
00WV,Beverly
00XS,O'Donnell
01A,Purkeypile
01AK,Seward
01AL,Clanton
01AR,De Queen
01AZ,Camp Verde
01C,Grant
01CA,Hesperia
01CL,Placerville
01CN,Los Angeles
01CO,Leadville
01CT,Berlin
01FA,Orlando
01FD,Altamonte Springs
01FL,Geneva
01GA,Columbus
01GE,Wrightsville
01IA,Maysville
01ID,Lava Hot Springs
01II,Lizton
01IL,Hoopeston
01IN,Anderson
01IS,Dow
01J,Hilliard
01K,Caldwell
01KS,Lost Springs
01KY,Paducah
01LA,Oak Ridge
01LL,Pinckneyville
01LS,Slaughter
01MA,Andover
01MD,Annapolis
01ME,Portage Lake
01MI,Flint
01MN,Cook
01MO,Town and Country
01MT,Fortine
01NC,Holly Ridge
01NE,Wellfleet
01NH,Enfield
01NJ,Newark
01NM,Artesia
01NV,Yerington
01NY,Poughkeepsie
01OI,Galion
01OK,Eakly
01OR,Silver Lake
01PA,Mars
01PN,Bellefonte
01PS,Meshoppen
01SC,York
01TA,Arlington
01TE,Forney
01TN,Collierville
01TS,Fort Worth
01TX,Waxahachie
01U,Duckwater
01UT,La Sal
01VA,Berryville
01WA,South Bend
01WI,Tomah
01WN,Coupeville
01WT,Renton
01WY,Moorcroft
01XA,Kyle
01XS,Athens
02AK,Willow
02AL,Foley
02AR,Little Rock
02AZ,Willcox
02CA,Huntington Beach
02CD,Clarksdale
02CL,Frazier Park
02CO,Monte Vista
02CT,Ellington
02FA,Groveland
02FL,Defuniak Springs
02GA,Commerce
02GE,Euharlee
02HI,Pearl Harbor
02IA,Boone
02ID,Cascade
02II,Westfield
02IN,Muncie
02IS,Libertyville
02KS,St Marys
02KY,Frankfort
02LA,Bossier City
02LS,Broussard
02MA,Gosnold
02ME,Acton
02MI,Greenville
02MN,Greenbush
02MO,Troy
02MS,Rochdale
02MT,Cascade
02MU,Cassville
02NC,Landis
02NE,Valparaiso
02NH,Dummer
02NJ,Piscataway
02NV,Winnemucca
02NY,Durhamville
02OH,Fremont
02OI,Conneaut
02OK,Oklahoma City
02OR,The Dalles
02P,Honey Grove
02PA,Monroeville
02PN,Berwyn
02PR,Vega Baja
02PS,Tioga
02SC,Estill
02T,Wise River
02TA,Matagorda
02TE,Waxahachie
02TN,Murfreesboro
02TS,Fort Worth
02TX,New Home
02UT,Lucin
02VA,Culpeper
02VG,Bristol
02WA,South Prairie
02WI,Hudson
02WN,Tonasket
02XS,Elroy
03AK,Kenai
03AL,Scottsboro
03AR,Malvern
03AZ,Hereford
03CA,La Mesa
03CO,Platteville
03FA,Lake Placid
03FD,Bonifay
03FL,West Palm Beach
03I,Circleville
03IA,Montezuma
03ID,Council
03II,Mount Vernon
03IL,Monee
03IN,Arcadia
03IS,Alton
03KS,Highland
03KY,Henderson
03LA,Carville
03LS,Winnsboro
03M,East Winthrop
03MA,Hadley
03MD,Bel Air
03ME,Harrison
03MI,Bay City
03MN,Lakefield
03MO,Urbana
03MS,Vicksburg
03MT,Cascade
03MU,Archie
03N,Utirik Island
03NC,Carolina Beach
03ND,Edinburg
03NE,Comstock
03NH,Milford
03NJ,Berkely Heights
03NV,Ruby Valley
03NY,Riverhead
03OH,Fremont
03OI,Garfield Heights
03OK,Sapulpa
03OR,Troy
03PA,Collegeville
03PN,Berwick
03PS,Bellefonte
03S,Sandy
03SC,Little River
03TA,Gay Hill
03TE,Hebbronville
03TN,Sevierville
03TS,San Angelo
03TX,Pearland
03UT,Mexican Hat
03VA,Nokesville
03WA,Spangle
03WI,Berlin
03WN,Goldendale
03XS,Mertzon
04AL,Anniston
04AR,Benton
04AZ,Chinle
04CA,Palmdale
04CL,Julian
04CT,Harwinton
04F,De Leon
04FA,Homestead
04FL,Ormond
04I,Columbus
04IA,Packwood
04ID,Emmett
04II,New Haven
04IL,Hudson
04IN,Angola
04IS,Mansfield
04KS,Lawrence
04KY,Hiseville
04LA,Lutcher
04LL,West Dundee
04LS,Baton Rouge
04MA,Haverhill
04MD,Chesapeake City
04ME,Mercer
04MI,Eaton Rapids
04MN,Kelliher
04MO,Vandalia
04MS,Rolling Fork
04MT,Cohagen
04NC,Cary
04NE,Sarben
04NJ,Elmer
04NV,Sandy Valley
04NY,Hudson
04OG,Forest Grove
04OH,Garrettsville
04OK,Stillwater
04OR,Mitchell
04PA,Philadelphia
04PN,Exton
04SC,Easley
04TA,Austin
04TE,Houston
04TN,Chuckey
04TS,Hutto
04TX,China Spring
04UT,Navajo Mountain Trdng Post
04V,Saguache
04VA,Lebanon
04VG,Manquin
04VT,Cabot
04W,Hinckley
04WA,Spokane
04WI,Bristol
04WN,Royal City
04WV,Morgantown
04XS,Mansfield
05AK,Palmer
05AL,Fort Rucker/Wicksburg
05AR,Kingston
05AZ,Yuma
05B,Van Buren
05CA,Calabasas
05CL,Pope Valley
05CO,Mead
05CT,Torrington
05FA,Florala
05FD,North Miami Beach
05FL,La Belle
05GA,Richland
05IA,Nora Springs
05ID,Grangeville
05II,New Haven
05IL,Bonfield
05IN,Belleville
05IS,Mount Auburn
05KS,Elk City
05KY,Berea
05LA,Baskin
05LL,Willowbrook
05LS,Alexandria
05M,Pauls Valley
05MA,Ipswich
05MD,Chestertown
05ME,Jonesboro
05MO,Portageville
05MS,Jackson
05NC,Supply
05NE,Spalding
05NH,Kensington
05NJ,Jersey City
05NY,Pulaski
05OI,Columbia Station
05OK,Crescent
05OR,Enterprise
05PA,Philadelphia
05PN,Harrisburg
05PS,Burnt Cabins
05S,Vernonia
05TA,Sealy
05TE,Georgetown
05TN,Covington
05TS,Justin
05TX,Blum
05UT,Oljato
05V,Blanca
05VA,Farmville
05VT,Highgate Springs
05WA,Spokane
05WI,Darien
05WN,Kettle Falls
05XS,Wilmot
05Y,Henning
06AK,Wasilla
06AL,Fort Rucker/New Brockton
06AR,Higden
06AZ,Gilbert
06B,Bangor
06CA,Yermo
06CL,Glendale
06CO,Branson
06FA,Jupiter
06FD,Mascotte
06FL,Clearwater
06GA,Redan
06I,French Lick
06IA,Walford
06ID,Kuna
06IL,Earlville
06IN,Blackhawk
06IS,Nauvoo
06KS,Wichita
06KY,Jackson
06LA,Belle Chasse
06LL,Elburn
06LS,St Francisville
06MA,Pepperell
06MD,Baltimore
06MI,Jackson
06MN,Virginia
06MO,Waldron
06MT,Ethridge
06N,Middletown
06NC,St. Pauls
06ND,Glen Ullin
06NE,Nebraska City
06NH,Kensington
06NJ,Moorestown
06NY,Auburn
06O1,Youngstown
06OH,Williamsfield
06OI,New Lebanon
06OK,Grove
06OR,Forest Grove
06PA,Ceres
06PN,Harrisburg
06PS,West Homestead
06R,Bellville
06SN,Derby
06TA,Buckholts
06TE,Cleveland
06TN,Columbia
06TS,Kerens
06TX,Hockley
06VA,Grottoes
06WA,Spokane
06WI,Frederic
06WN,Yelm
06XS,Aubrey
06Y,Herman
07AL,Fort Rucker/Samson
07AR,Morrilton
07AZ,Phoenix
07B,Blue Hill
07CA,Taft
07CL,Richvale
07CO,Kiowa
07CT,Salem
07D,Avoca
07FA,Key Largo
07FD,Lee
07FL,Fort Myers
07GA,Covington
07I,Bloomington
07ID,Malta
07II,North Vernon
07IN,Boggstown
07K,Central City
07KS,Augusta
07KY,Louisville
07LA,Harahan
07LS,Monroe
07MA,Plymouth
07MD,Westminster
07ME,Westbrook
07MI,Lake
07MN,Hadley
07MO,Warrensburg
07MT,Glasgow
07N,Kralltown
07NC,Waxhaw
07NH,Washington
07NJ,North Bergen
07NY,Monticello
07OH,Claysville
07OK,Snyder
07OR,Milwaukie
07PN,Grassflat
07SN,Phillipsburg
07TA,Danbury
07TE,Corpus Christi
07TN,Vonore
07TS,Georgetown
07TX,Princeton
07UT,Howell
07VA,Clover
07VT,Jericho
07WA,Spokane
07WI,Genessee Depot
07XS,Crowley
07Y,Hill City
08AK,Big Lake
08AR,West Memphis
08AZ,Mesa
08B,Bowdoinham
08CA,Diamond Springs
08CL,Jamestown
08CN,Tulare
08CO,Rush
08CT,Winsted
08F,Coalgate
08FA,La Belle
08FD,Okeechobee
08FL,Lake Placid
08G,Cambridge
08GA,Darien
08ID,Marsing
08II,Lagrange
08IL,Tampico
08IN,Winona Lake
08IS,Du Quoin
08KS,Bennington
08KY,Burnside
08LA,Harahan
08LL,Dwight
08LS,Grand Coteau
08MA,Southborough
08MD,Towson
08ME,Avon
08MI,Lansing
08MN,Chisholm/Hibbing
08MO,Jasper
08MS,Coldwater
08MT,Grassrange
08N,Lebanon
08NC,Lewisville
08ND,Golden Valley
08NE,Laurel
08NH,North Conway
08NJ,Livingston
08NY,Middletown
08OH,Hartford
08OK,Wilburton
08OR,Silver Lake
08PA,Pocono Pines
08PN,Lancaster
08R,West Kingston
08TA,Fischer
08TE,Comfort
08TS,La Gloria
08TX,Weatherford
08U,North Fork
08VA,Buchanan
08WA,Manchester
08WI,Highland
08XS,Old Ocean
09AK,Big Lake
09AR,Magnolia
09AZ,St David
09CA,King City
09CL,Grass Valley
09CN,Tulare
09CO,Swink
09FA,Lake Placid
09FD,Bushnell
09FL,Arcadia
09GA,Moultrie
09I,International Falls
09IA,Brooklyn
09ID,Moscow
09II,Valeene
09IL,Joliet
09IN,Columbia City
09IS,Rockford
09KS,Wellsville
09KY,Louisville
09LA,Grand Isle
09LL,Capron
09LS,St Francisville
09MA,Southborough
09ME,Berwick
09MI,Lansing
09MN,Hazel Run
09MO,Willard
09N,Staatsburg
09NC,Broadway
09NE,Bennington
09NJ,Somerville
09NY,Kingston
09OK,Collinsville
09OR,The Dalles
09PA,Port Matilda
09PN,Kintersville
09S,Metaline Falls
09TA,Decatur
09TE,Glen Rose
09TN,Knoxville
09TS,Marathon
09TX,Sheffield
09VA,Floyd
09VG,Fishersville
09W,Washington
09WA,Spokane
09WI,Holmen
09XS,San Antonio
09Y,Inver Grove Hgts
0AK,Pilot Station
0AK0,North Pole
0AK1,Wasilla
0AK2,Willow
0AK3,Montana Creek
0AK5,May Creek
0AK6,Victory Bible Camp
0AK7,Homer
0AK8,North Pole
0AK9,Point Mackenzie
0AL0,Huntsville
0AL1,Foley
0AL2,Ashland
0AL3,Evergreen
0AL4,Fort Payne
0AL5,Flomaton
0AL6,Brewton
0AL7,Gadsden
0AL8,Birmingham
0AL9,Florence
0AR0,Springdale
0AR1,Centerville
0AR2,Crawfordsville
0AR3,Deer
0AR4,Gravette
0AR5,Jonesboro
0AR6,Hot Springs
0AR7,Watson
0AR8,Nashville
0AR9,Eureka Springs
0AZ0,Phoenix
0AZ1,Marana
0AZ2,Salome
0AZ4,Mobile
0AZ5,Morristown
0AZ6,Phoenix
0AZ7,Phoenix
0B2,Brewer
0B7,Warren
0C1,Dearborn
0C2,Hinckley
0C5,Mecosta
0C7,Mendota
0C8,Newark
0C9,Clinton
0CA0,Los Angeles
0CA1,Santa Maria
0CA2,West Los Angeles
0CA3,Santa Ynez
0CA4,Santa Ynez
0CA5,Santa Ysabel
0CA6,Ocotillo
